,R2,R3,R5,R6,R7,R8,,,,,,,,,
003839.OF,8.94,5.15,31.44,31.44,31.44,3.12,,,,,,,,,
003842.OF,8.61,2.89,31.89,31.88,31.89,2.98,,,,,,,,,
003848.OF,9.36,2.24,27.21,27.21,27.23,1.81,,,,,,,,,
003850.OF,10.88,4.15,27.53,27.53,27.53,4.23,,,,,,,,,
003854.OF,13.21,4.3,26.73,26.7,26.64,5.91,,,,,,,,,
003861.OF,6.57,2.5,33.54,33.54,33.54,1.85,,,,,,,,,
003877.OF,11.77,7.66,30.88,30.87,30.88,7.22,,,,,,,,,
003882.OF,8.55,4.42,31.02,31.01,31.02,2.91,,,,,,,,,
003900.OF,6.84,4.07,32.19,32.19,32.19,4.74,,,,,,,,,
003950.OF,9.56,4.12,24.49,24.49,24.49,4.84,,,,,,,,,
003966.OF,11.48,4.68,28.87,28.86,28.86,4.81,,,,,,,,,
004005.OF,17.68,10.74,27.8,27.79,27.8,10.02,,,,,,,,,
004010.OF,13.8,3.88,27.91,27.9,27.91,3.31,,,,,,,,,
004024.OF,11.22,3.79,18.44,18.42,18.44,4.19,,,,,,,,,
004025.OF,16.03,5.28,29.21,29.2,29.21,3.66,,,,,,,,,
004081.OF,26.8,8.21,35.87,35.86,35.87,10.26,,,,,,,,,
004083.OF,8.78,4.35,26.66,26.66,26.66,4.31,,,,,,,,,
004093.OF,17.45,3.74,24.78,24.79,24.79,5.69,,,,,,,,,
004100.OF,7.24,4.05,31.35,31.34,31.35,2.99,,,,,,,,,
004129.OF,12.82,3.89,26.21,26.21,26.21,3.29,,,,,,,,,
004131.OF,21.67,7.34,27.1,27.1,27.1,6.19,,,,,,,,,
004149.OF,8.02,2.4,24.79,24.79,24.79,3.22,,,,,,,,,
004153.OF,6.34,3.85,24.08,24.08,24.07,3.24,,,,,,,,,
004157.OF,10.01,1.41,29.62,29.62,29.62,4.15,,,,,,,,,
004175.OF,9.85,4.73,26.62,26.6,26.61,5.47,,,,,,,,,
004202.OF,19.98,2.83,28.98,28.97,28.98,2.36,,,,,,,,,
004206.OF,19.96,7.29,35.18,35.18,35.18,5.98,,,,,,,,,
004218.OF,23.5,4.31,28.93,28.93,28.93,4.8,,,,,,,,,
004225.OF,14.79,2.85,28.03,28.01,28.02,5.18,,,,,,,,,
004258.OF,12.44,2.98,27.75,27.75,27.75,2.23,,,,,,,,,
004265.OF,18.11,6.3,30.85,30.85,30.85,6.34,,,,,,,,,
004270.OF,17.64,8.61,31.18,31.18,31.18,8.96,,,,,,,,,
004274.OF,15.54,6.44,31.3,31.3,31.33,3.99,,,,,,,,,
004276.OF,18.89,7.21,35.12,35.11,35.12,6.32,,,,,,,,,
004278.OF,10.7,1.66,27.92,27.91,27.91,1.95,,,,,,,,,
004279.OF,11.49,3.14,23.91,23.91,23.91,3.84,,,,,,,,,
004301.OF,9.4,3.99,26.92,26.92,26.92,2.78,,,,,,,,,
004318.OF,18.29,6,28.9,28.89,28.9,3.36,,,,,,,,,
004340.OF,7.45,1.43,23.02,23.01,23.02,1.64,,,,,,,,,
004353.OF,15.73,6.31,26.96,26.81,26.96,7.37,,,,,,,,,
004361.OF,15.99,5.43,24.47,24.46,24.47,5.88,,,,,,,,,
004405.OF,17.39,3.87,25.5,25.5,25.53,3.23,,,,,,,,,
004413.OF,25.96,3.24,33.81,33.8,33.8,3.61,,,,,,,,,
004427.OF,20.43,9.04,27.75,27.75,27.8,6.96,,,,,,,,,
004436.OF,10.22,5.89,25.77,25.76,25.76,6.55,,,,,,,,,
004442.OF,8.92,3.38,25.77,25.76,25.77,4.2,,,,,,,,,
