,R1,R4,R9
519770.OF,3.54,3.54,3.57
519933.OF,7.34,7.34,7.49
519963.OF,8.26,8.25,8.31
519989.OF,5.62,5.61,5.62
530008.OF,4.64,4.64,4.64
530009.OF,8.51,8.59,8.56
540001.OF,4.2,4.2,4.21
550004.OF,3.71,3.71,3.72
573003.OF,7.41,7.41,7.5
610008.OF,12.96,12.96,12.96
620003.OF,3.54,3.54,3.57
630003.OF,6.69,6.69,6.7
630007.OF,9.44,9.44,9.41
630009.OF,6.35,6.36,6.44
660009.OF,4.87,4.87,4.69
675081.OF,5.08,5.09,5.08
690002.OF,5.86,5.86,5.83
720003.OF,10.93,10.92,11.25
750002.OF,9.65,9.65,9.66
952024.OF,5.39,5.39,5.45
均值,7.310678233438478,7.311309148264974,7.3263880126183
