,R2,R3,R5,R6,R7,R8
004225.OF,14.48,2.8,28.5,28.49,28.5,5.18
004258.OF,11.8,3.13,27.08,27.08,27.08,2.23
004265.OF,18.54,6.33,30.1,30.09,30.1,6.34
004270.OF,17.34,8.5,30.05,30.05,30.05,8.96
004274.OF,17.24,6.31,31.69,31.69,31.7,3.99
004276.OF,18.53,7.21,36.04,36.03,36.03,6.32
004278.OF,10.29,1.66,28.08,28.08,28.08,1.95
004279.OF,11.03,2.97,24.36,24.33,24.34,3.84
004301.OF,8.57,4.14,25.19,25.19,25.19,2.78
004318.OF,19.13,6.02,31.2,31.2,31.2,3.36
004340.OF,7.51,1.66,22.84,22.84,22.84,1.64
004353.OF,15.65,6.78,25.94,25.78,25.94,7.37
004361.OF,17.77,5.35,25.43,25.43,25.43,5.88
004405.OF,17.33,3.88,24.56,24.56,24.61,3.23
004413.OF,25.81,3.16,34.25,34.24,34.24,3.61
004427.OF,19.71,8.97,26.56,26.58,26.62,6.96
004436.OF,10.43,6.23,26.09,26.09,26.09,6.55
004442.OF,9.26,3.33,25.5,25.49,25.5,4.2
004446.OF,17.93,5.15,30.27,30.22,30.25,3.02
004457.OF,20.8,5.92,31.65,31.62,31.65,5.89
004486.OF,8.01,4.05,30.04,29.99,29.98,4.19
004503.OF,7.15,3.55,22.67,22.67,22.67,3.12
004517.OF,8.15,2.44,27.17,27.17,27.17,1.62
004571.OF,9.78,2.85,26.99,27.01,27.02,5.43
004585.OF,4.93,1.67,22.56,22.57,22.56,2.65
004607.OF,23.52,9.9,29.75,29.73,29.74,7.76
004608.OF,11.66,5.51,27.3,27.3,27.3,3.7
004612.OF,11.83,3.72,26.59,26.59,26.59,3.51
004617.OF,17.24,5,30.99,30.99,30.99,5.88
004647.OF,21.31,11.27,25.98,25.97,25.98,14.29
004648.OF,9.28,2.09,25.65,25.64,25.65,2.21
004680.OF,13.64,5.94,27.02,27.02,27.02,4.23
004687.OF,13.57,6.6,27.34,27.33,27.34,6.79
004707.OF,16.95,5.23,34.19,34.19,34.21,5.15
004710.OF,8.88,2.38,27.31,27.31,27.31,3.26
004720.OF,16.86,2.53,28.61,28.61,28.61,4.71
004731.OF,12.13,3.6,26.64,26.64,26.64,4.94
004734.OF,12.46,4.93,28.19,28.19,28.19,5.67
004738.OF,12.37,5.54,27.94,27.94,27.94,4.84
004750.OF,16.13,6.43,29.78,29.77,29.78,5.18
004756.OF,13.98,5.04,25.3,25.29,25.3,4.36
004760.OF,14.08,5.72,23.49,23.49,23.5,7
004772.OF,16.74,5.22,28.81,28.8,28.8,4.46
004774.OF,13.05,7.54,31.52,31.48,31.54,6.6
004801.OF,14.5,3.8,28.84,28.82,28.83,5.24
004807.OF,3.66,1.72,38.15,38.11,38.15,2.07
004823.OF,12.3,4.8,29.56,29.55,29.55,3.72
004852.OF,24.68,4.8,38.26,38.26,38.26,4.56
004885.OF,16.59,5.26,24.12,24.12,24.13,5.21
004902.OF,13.07,4.97,26.36,26.34,26.36,5.28
004913.OF,19.01,5.17,31.28,31.28,31.28,5.68
004916.OF,14.07,7.74,26.06,26.05,26.06,6.78
004946.OF,12.48,3.32,28.24,28.24,28.25,4.28
004952.OF,6.53,2.57,24.64,24.64,24.64,3.94
004975.OF,4.87,1.74,25.34,25.34,25.34,2.81
004982.OF,16.7,8.19,31.52,31.5,31.51,6.68
004988.OF,16.17,3.29,30.15,30.15,30.15,4.6
005014.OF,9.61,4.9,28.04,28.04,28.04,2.04
005039.OF,8.7,3.87,24.26,24.26,24.26,4.39
005059.OF,12.68,4.03,23.86,23.86,23.86,2.93
005078.OF,13.44,4.32,28.41,28.4,28.4,4.94
005121.OF,19.28,6.85,29.18,29.18,29.18,7.72
005128.OF,18.75,4.53,29.25,29.25,29.25,5.97
005140.OF,19.83,5.55,28.26,28.25,28.26,6.72
005144.OF,23.68,4.25,33.87,33.86,33.86,3.94
005159.OF,11.28,3.91,20.38,20.28,20.37,2.8
005166.OF,22.07,6.6,25.8,25.79,25.8,8.41
005167.OF,16.13,3.66,27.13,27.13,27.15,3
005177.OF,13.53,4.18,26.15,26.14,26.15,4.99
005212.OF,8.34,3.49,27.93,27.93,27.93,3.75
005252.OF,18.01,8.39,17.67,17.67,17.69,6.36
005271.OF,16.54,5.96,25.69,25.69,25.69,9.4
005274.OF,19.97,7.16,35.13,35.12,35.19,6.26
005291.OF,21.38,4.54,24.11,24.09,24.11,8.79
005305.OF,11.59,3.83,22.87,22.87,22.87,4.37
005317.OF,19.26,5.16,28.57,28.59,28.62,7.79
005329.OF,13.82,1.71,25.18,25.18,25.18,6.11
005397.OF,20.26,6.8,30.6,30.59,30.6,6.03
005416.OF,12.34,2.16,28.34,28.34,28.34,2.5
